Team1,Team2,Venue_Team1,Venue_Team2,Inning_Team1,Inning_Team2,Winner
India,New Zealand,Away,Away,First,Second,New Zealand
India,New Zealand,Away,Away,First,Second,India
New Zealand,India,Away,Away,First,Second,New Zealand
New Zealand,India,Away,Away,First,Second,India
New Zealand,India,Away,Away,First,Second,New Zealand
New Zealand,Sri Lanka,Away,Away,First,Second,New Zealand
New Zealand,Sri Lanka,Away,Away,First,Second,New Zealand
New Zealand,Sri Lanka,Away,Away,First,Second,New Zealand
New Zealand,Sri Lanka,Away,Away,First,Second,New Zealand
Bangladesh,New Zealand,Away,Away,First,Second,New Zealand
Bangladesh,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,Bangladesh,Away,Away,First,Second,New Zealand
United Arab Emirates,Nepal,Away,Away,First,Second,United Arab Emirates
Pakistan,Australia,Away,Away,First,Second,Pakistan
Pakistan,Australia,Away,Away,First,Second,Pakistan
Pakistan,Australia,Away,Away,First,Second,Pakistan
Pakistan,New Zealand,Away,Away,First,Second,Pakistan
New Zealand,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,New Zealand,Away,Away,First,Second,Pakistan
New Zealand,Pakistan,Away,Away,First,Second,New Zealand
New Zealand,Pakistan,Away,Away,First,Second,Pakistan
West Indies,India,Away,Away,First,Second,India
West Indies,India,Away,Away,First,Second,West Indies
India,West Indies,Away,Away,First,Second,India
West Indies,India,Away,Away,First,Second,India
West Indies,India,Away,Away,First,Second,India
India,West Indies,Away,Away,First,Second,India
West Indies,India,Away,Away,First,Second,India
West Indies,England,Home,Away,First,Second,England
West Indies,England,Home,Away,First,Second,West Indies
England,West Indies,Away,Home,First,Second,England
England,West Indies,Away,Home,First,Second,West Indies
West Indies,England,Home,Away,First,Second,England
England,West Indies,Away,Away,First,Second,England
West Indies,England,Away,Away,First,Second,England
Ireland,England,Away,Away,First,Second,England
United Arab Emirates,Australia,Away,Away,First,Second,Australia
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Ireland
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Ireland
Australia,India,Away,Away,First,Second,India
India,Australia,Away,Away,First,Second,India
Australia,India,Away,Away,First,Second,Australia
India,Australia,Away,Away,First,Second,Australia
Australia,India,Away,Away,First,Second,Australia
India,Australia,Away,Away,First,Second,Australia
India,Australia,Away,Away,First,Second,Australia
West Indies,Ireland,Away,Away,First,Second,West Indies
West Indies,Bangladesh,Away,Away,First,Second,Bangladesh
